vOTUs,W-G-1,W-G-2,W-G-3,W-W-1,W-W-2,W-W-3,Y-G-1,Y-G-2,Y-G-3,Y-W-1,Y-W-2,Y-W-3
Y-W-1__110861,0.554992,0,0.142579,0,0,0,0,0,0,7.565256,0,0
Y-W-1__110893,0,0.935017,0,0,0,0,0,0,0,11.753176,0.071039,0.511749
Y-W-1__111043,0,0,0,0,0,0,0,0,0,5.871295,0,0
Y-W-1__11109,0,0,0,0,0,0,0,0,0,22.131606,0,0
Y-W-1__111200,0,0,0,0,0,0,0,0,0,4.761442,0,7.412029
Y-W-1__111360,0,0,0,0,0,0,0,0,0,4.580895,2.406829,1.050804
Y-W-1__111376,0.125038,0,0,0,0,0,0,0.290397,0,6.467336,0.249971,4.481828
Y-W-1__111618,0,0,0,0,0,0,0,0,0,3.990936,0,0
Y-W-1__11162,0,0,0.139533,0,0,0,1.920236,0,0.122068,7.240573,0.127743,0
Y-W-1__111676,0,0,0,0,0,0,0,0,0,3.703111,0,0
Y-W-1__111712,0,0,11.892416,0,0,0,0,0,0,3.862456,0,0
Y-W-1__111752,0,0,0,0,0,0,0,0,0,5.749738,0,0
Y-W-1__111775,0,0,0,0,0,0,0,0,0,5.646275,0.607543,9.803592
Y-W-1__111799,50.044073,0,0,0,0,0,0,0,0,7.907184,8.213721,1.29333
Y-W-1__111881,0.067681,0,0,0,0,0,0,0,0,6.287326,0,1.039681
Y-W-1__111885,0.227517,0,0,0,0,0,57.432608,36.657822,1.412569,108.929961,25.357442,0
Y-W-1__111940,0,0,0,0,0,0,0,0,0,7.106931,0.852105,0.818451
Y-W-1__111961,0,0,0.143445,0,0,0,0,0,0,32.892633,5.121655,3.216512
Y-W-1__111975,0.155137,0,0.169384,0,0,0,0,0,0,5.780554,0.93043,5.883409
Y-W-1__112004,0,0,0,0,0,0,0,0,0,3.704611,0,0
Y-W-1__112031,0,0,4.379994,0,0,0,0,0.089584,0.049125,7.82291,0.051409,0.493784
Y-W-1__11206,0,0,0,0,0,0,0,0,0,15.065187,0,0
Y-W-1__112070,0,0,0,0,0,0,0,0,0,1441.00724,0,1653.67776
Y-W-1__11209,4.598966,0.395951,0.800946,0,0,0,0,0,0,6.394193,7.332671,0.433419
Y-W-1__112101,0.191622,0,0,0,0,0,0,0,0,7.661648,1.340787,3.311566
Y-W-1__11217,1.21643,0.502084,1.354183,0,0,0,0,0,0,46.019188,0.381464,0.228998
Y-W-1__112180,0,0,0,0,0,0,0,0,0,11.166444,0,0
Y-W-1__112187,0,0,0,0,0,0,0,0,0,9.970618,0,0
Y-W-1__112211,3.384946,0,0.158109,0,0,0.250679,2.959198,10.278703,16.944085,8.278437,0.072375,2.015968
Y-W-1__112229,0.495407,0,0,0,0,0,0,0,0,3.856225,3.837782,0.951279
Y-W-1__112261,0,0,0,0,0,0,0,0,0,1.988389,2.163291,4.57127
Y-W-1__112280,30.672484,0,0,1.69364,0,0,0,0,0,4.85552,11.581127,67.561972
Y-W-1__112304,0.384686,0,5.880198,0,0,0,0,0,0,6.283289,0,0.082075
Y-W-1__112379,0,0,0,0,0,0,0,0,0,8.778884,1.554592,0.878348
Y-W-1__112381,6.335566,0,27.517542,0,0,23.461407,0,0,0,91.11549,43.703871,4.545362
Y-W-1__112394,0,0,0,0,0,0,0,0,0,6.620789,0,0
Y-W-1__112477,0,0,55.448813,0,0.406888,0,0.161927,0.469283,0.12867,4.40052,0,0.905331
Y-W-1__11251,0.602963,0,0,0,0,0,0,0,0,43.037336,0.26063,4.53735
Y-W-1__112539,0,0,0,0,0,0,0,3.531334,0,19.833755,0,0
Y-W-1__112566,0.281718,0,0,0,0,0,0,0,0,9.720567,0,0
Y-W-1__112604,0,0,0,0,0,0,0,0,0,10.111851,0,0.298747
Y-W-1__11261,0,0.068424,7.069557,0,0,0,0,0,0,11.44788,0,0
Y-W-1__112688,0,0,0,0,0,0,0,0.999234,9.178115,6.075822,0.57342,0
Y-W-1__112791,11.793974,9.323514,4.700013,0,0,0,0,0,0,8.205918,0.219534,4.006407
Y-W-1__112800,0,0,42.04433,0,0,0,0,0,0,8.007731,0,0
Y-W-1__112819,0,0,0,0,0,0,0,0,0,4.14411,0,0
Y-W-1__112890,0,0,0,0,0,0,0,0,0,34.917451,0,0
Y-W-1__112896,0,0,0,0,0,0,0,0,0,48.164255,0,0
Y-W-1__112898,0,7.283332,0,0,0,0,0,0,0,6.211591,7.441721,0
Y-W-1__112930,0,0,0,0,0,0,0,0,0,34.184928,10.229859,63.289857
Y-W-1__112947,0,0,0,0,0,0,0,0,0,9.27574,0,0
Y-W-1__113029,0,0,0,0,0,0,0,0,0,6.521623,0,0
Y-W-1__113042,0,0,0,12.490831,2.752115,0,0,0,0,19.318156,0,0
Y-W-1__113087,0.441686,0,0,0,0,0,0,0,0,8.285173,1.214124,2.968436
Y-W-1__113100,0,0,0,0,0,0,0,0,0,5.5324,0,0
Y-W-1__113174,0,0,0,0,0,0,0,0,0,4.128476,0,2.484992
Y-W-1__113204,0,0,0,0,0,0,0,0,0.09697,5.751867,0,0
Y-W-1__113226,0.59433,0,1.197988,0,0,0,0,0,0,8.307385,0.365587,3.68705
Y-W-1__11333,0.800785,1.277031,0.794841,0,0,0,0,0,0,9.958364,5.530353,0
Y-W-1__113387,0.62896,0,0.021975,0,0,0,0,0.035058,0,42.047939,31.34415,27.748708
