,long,lat,nifA,nifD,nifE,nifEN,nifH,nifK,nifL,nifM,nifN,nifU,nifZ,anfK,vnfH,radius,LN
52,146.92553,-36.07277,1,0,1,0,1,1,1,0,1,1,0,1,0,8,3.079441542
53,147.361215,-42.874301,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
54,-147.705176,64.33261,1,1,1,1,1,1,0,0,1,1,0,1,1,10,3.302585093
55,148.715563,-20.267752,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
56,149.122299,35.388524,1,1,1,0,1,1,0,0,0,1,0,0,1,7,2.945910149
57,149.134377,-35.339673,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
58,15.219172,40.316169,1,0,0,0,1,1,0,0,1,0,0,0,1,5,2.609437912
59,15.462039,49.863598,1,0,1,0,1,1,0,0,1,0,0,1,1,7,2.945910149
60,15.738228,-22.588022,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
61,151.267356,-23.845113,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
62,151.581031,-26.571363,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
63,152.951,-26.898,1,0,1,0,1,1,0,0,0,0,0,0,1,5,2.609437912
64,153.053674,-27.5418,1,0,0,0,1,1,0,0,1,0,0,0,1,5,2.609437912
65,-157.27177,69.35393,1,1,1,1,1,1,1,1,1,1,1,1,1,13,3.564949357
66,16.380143,48.212404,1,0,1,0,1,1,0,0,0,0,0,0,1,5,2.609437912
67,16.595867,63.515471,1,1,1,0,1,1,0,0,1,0,0,0,1,7,2.945910149
68,16.975968,45.776706,1,0,0,0,1,1,0,0,1,0,0,0,1,5,2.609437912
69,165.276753,-21.214541,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1.693147181
70,166.920716,-77.554994,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
71,17.585174,35.08103,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
72,170.139207,-44.177306,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
73,-18.303403,65.071817,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.693147181
74,18.660687,52.916509,1,0,1,0,1,1,0,0,0,0,0,0,1,5,2.609437912
75,18.757912,15.577102,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
76,19.339204,56.987384,1,0,1,0,1,1,1,0,1,1,0,0,0,7,2.945910149
77,19.641682,46.908406,1,1,1,0,1,1,1,0,1,1,0,0,1,9,3.197224577
78,19.644769,41.778918,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
79,-2.080674,47.435413,1,0,1,1,1,1,0,0,1,1,0,1,1,9,3.197224577
80,-2.272227,13.240309,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
81,2.353075,48.887715,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
82,-2.45534,37.340742,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
83,-2.694505,40.712054,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
84,20.871393,-1.807933,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
85,21.03173,44.01901,1,0,1,0,1,1,0,0,0,0,0,0,1,5,2.609437912
86,21.80534,39.12931,1,0,1,0,1,1,1,0,1,1,0,0,1,8,3.079441542
87,22.734156,-0.128606,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
88,23.062862,-30.666049,1,0,1,0,1,1,0,0,1,0,0,0,1,6,2.791759469
89,23.892198,55.167793,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.693147181
90,25.0323,45.953185,1,0,1,0,1,1,0,0,1,1,0,0,0,6,2.791759469
91,25.81615,-13.492092,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.693147181
92,25.853486,58.680225,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1.693147181
93,25.864728,68.099949,1,1,1,0,1,1,0,0,1,0,0,1,1,8,3.079441542
94,25.95081,56.99024,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.693147181
95,27.551863,53.903158,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1.693147181
96,28.015458,42.869784,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
97,29.779769,26.564993,1,0,1,1,1,1,0,0,1,1,0,0,1,8,3.079441542
98,29.842026,-18.951894,1,0,1,0,1,1,0,0,1,0,0,0,0,5,2.609437912
99,29.844977,16.394871,1,0,0,0,1,1,0,0,0,0,0,0,1,4,2.386294361
100,29.983122,-1.948955,1,0,0,0,1,1,0,0,0,0,0,0,0,3,2.098612289
101,-3.410648,51.961312,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
102,3.728063,51.061824,1,1,1,0,1,1,0,0,1,1,0,0,1,8,3.079441542
103,-3.815388,56.787704,1,1,1,0,1,1,1,1,1,1,0,1,1,11,3.397895273
